vid,formula,reduced_formula,seed_jid,seed_delta_n,n_mean,n_std,n_ci_lo,n_ci_hi,n_ci_half,eg_mean,eg_std,eg_ci_lo,eg_ci_hi,eg_ci_half,score,passes_gate
VIRT-00088,Sc2 B8 O14,ScB4O7,JVASP-52497,0.6977851711533998,1.8240139881769817,0.04372019042249827,1.5133549881769817,2.1346729881769817,0.310659,5.550312519073486,0.46903154764681204,4.517403519073486,6.583221519073486,1.032909,0.18503514664810428,False
VIRT-00021,Ru8 C16,RuC2,JVASP-56324,2.0119725386225986,3.9127018451690674,0.06500228009354682,3.602042845169067,4.223360845169068,0.310659,0.5787806113560995,0.07282308350833194,-0.4541283886439006,1.6116896113560997,1.032909,0.18226245984191844,False
VIRT-00068,Te12 W8 S4,Te3W2S,JVASP-33908,1.4364769401995088,3.8043160438537598,0.048661952088171125,3.4936570438537595,4.11497504385376,0.310659,0.7640058199564616,0.07382286813185307,-0.2689031800435385,1.7969148199564615,1.032909,0.17051793249328853,False
VIRT-00029,In8 Sn2 Te6,In4SnTe3,JVASP-9377,1.7585908665133596,4.083608150482178,0.23922480644210067,3.7729491504821775,4.394267150482178,0.310659,0.22167054812113443,0.03575332969738879,-0.8112384518788657,1.2545795481211346,1.032909,0.12792389611618435,False
VIRT-00064,Te10 W8 S6,Te5W4S3,JVASP-34127,1.449798597242586,3.7544874350229898,0.026786231892951387,3.44382843502299,4.06514643502299,0.310659,0.6739081939061483,0.02680865246024271,-0.35900080609385177,1.7068171939061485,1.032909,0.12752987466481688,False
VIRT-00090,K8 Mg4 Si4,K2MgSi,JVASP-153312,1.2562606627863446,3.977229674657186,0.08986174171394148,3.6665706746571862,4.287888674657186,0.310659,0.2864745457967122,0.09678408683482503,-0.7464344542032879,1.3193835457967122,1.032909,0.12497994592532417,False
VIRT-00063,Cr8 Te10 S6,Cr4Te5S3,JVASP-34127,1.449798597242586,3.8016950289408364,0.06753425227153413,3.4910360289408366,4.112354028940836,0.310659,0.5622763633728027,0.038188829784209254,-0.47063263662719734,1.5951853633728028,1.032909,0.10782272537721942,False
VIRT-00024,Os4 Se8,OsSe2,JVASP-9108,1.8037833715429,3.6858280499776206,0.14185037842379378,3.375169049977621,3.9964870499776204,0.310659,0.8995532989501953,0.03762053830794226,-0.13335570104980476,1.9324622989501954,1.032909,0.09967754243447109,False
VIRT-00103,K2 Na2 F4,KNaF2,JVASP-23980,0.3214135708543171,1.311024824778239,0.01890765865147868,1.000365824778239,1.621683824778239,0.310659,6.182581265767415,0.16986707550740351,5.149672265767415,7.215490265767415,1.032909,0.08989894881685817,False
VIRT-00009,Os4 S8,OsS2,JVASP-9117,2.9677470504733687,3.60115917523702,0.101402360899756,3.29050017523702,3.91181817523702,0.310659,0.9944961071014404,0.06292323721370588,-0.03841289289855965,2.0274051071014405,1.032909,0.08262091967455917,False
VIRT-00028,Tl8 Te6 Pb2,Tl4Te3Pb,JVASP-9377,1.7585908665133596,3.8147942225138345,0.031791832944364114,3.5041352225138347,4.125453222513834,0.310659,0.38249178727467853,0.05142503220974677,-0.6504172127253216,1.4154007872746786,1.032909,0.0755685558157935,False
VIRT-00026,Tl8 Si2 Te6,Tl4SiTe3,JVASP-9377,1.7585908665133596,3.906656583150228,0.170429609361028,3.595997583150228,4.217315583150228,0.310659,0.3468395471572876,0.04439370470308813,-0.6860694528427125,1.3797485471572877,1.032909,0.07211578017329093,False
VIRT-00065,Te12 Mo8 O4,Te3Mo2O,JVASP-33908,1.4364769401995088,3.740429083506266,0.07138083399583289,3.4297700835062663,4.051088083506266,0.310659,0.6191004912058512,0.09735170108187943,-0.4138085087941489,1.6520094912058512,1.032909,0.07135665730363738,False
VIRT-00077,Cr6 Te6 S6,CrTeS,JVASP-34014,1.3674148665729846,3.704989751180013,0.028014919669361853,3.3943307511800134,4.015648751180013,0.310659,0.5116987625757853,0.00630315991920731,-0.5212102374242148,1.5446077625757852,1.032909,0.049418960223143064,False
VIRT-00043,Li1 V3 Se8,LiV3Se8,JVASP-48321,1.7815871816699476,3.7922523816426597,0.17018313964101675,3.48159338164266,4.1029113816426594,0.310659,0.6221190690994263,0.21164105642004544,-0.4107899309005738,1.6550280690994263,1.032909,0.04696005034429271,False
VIRT-00078,Te6 W6 S6,TeWS,JVASP-34014,1.3674148665729846,3.613563060760498,0.07992208812023499,3.302904060760498,3.9242220607604983,0.310659,0.6472559769948324,0.08349995608994637,-0.3856530230051677,1.6801649769948326,1.032909,-0.006662440197615034,False
VIRT-00062,Mo8 Se10 S6,Mo4Se5S3,JVASP-34127,1.449798597242586,3.5799412727355957,0.05604064264125817,3.2692822727355955,3.890600272735596,0.310659,0.6899162530899048,0.08592535758576537,-0.3429927469100953,1.7228252530899049,1.032909,-0.007461273328814563,False
VIRT-00089,Na8 Mg4 Si4,Na2MgSi,JVASP-153312,1.2562606627863446,3.8589762846628823,0.09729702806789157,3.5483172846628825,4.169635284662882,0.310659,0.09735695521036784,0.14228828048263434,-0.9355520447896323,1.130265955210368,1.032909,-0.021555479241485626,False
VIRT-00066,Mo8 Se12 S4,Mo2Se3S,JVASP-33908,1.4364769401995088,3.5666634241739907,0.09246211204887576,3.256004424173991,3.8773224241739905,0.310659,0.7487632830937704,0.13586049118163424,-0.2841457169062297,1.7816722830937706,1.032909,-0.022556980881886714,False
VIRT-00060,Te10 Mo8 O6,Te5Mo4O3,JVASP-34127,1.449798597242586,3.6258235772450766,0.07675483235541802,3.315164577245077,3.9364825772450764,0.310659,0.5316781202952067,0.07800788202903927,-0.5012308797047934,1.5645871202952066,1.032909,-0.030327878628286092,False
